iter	Passed	Remaining
570	285929	715574
571	286355	714887
572	286817	714290
573	287263	713653
574	287616	712788
575	288035	712088
576	288508	711520
577	289079	711195
578	289559	710645
579	290026	710064
580	290493	709484
581	290990	708976
582	291472	708432
583	291940	707854
584	292284	706978
585	292744	706383
586	293122	705591
587	293510	704824
588	293945	704171
589	294371	703498
590	294804	702841
591	295382	702532
592	295833	701918
593	296307	701360
594	296771	700778
595	297157	700015
596	297727	699684
597	298234	699206
598	298791	698842
599	299364	698516
600	299821	697920
601	300271	697308
602	300716	696684
603	301176	696096
604	301617	695465
605	302051	694817
606	302418	694018
607	302771	693187
608	303122	692352
609	303627	691872
610	304104	691327
611	304612	690853
612	305072	690270
613	305643	689938
614	306091	689328
615	306439	688494
616	306874	687856
617	307305	687210
618	307662	686399
619	308175	685938
620	308748	685610
621	309195	685001
622	309714	684554
623	310182	683991
624	310790	683739
625	311385	683456
626	311772	682718
627	312352	682399
628	312891	681994
629	313361	681435
630	313921	681076
631	314388	680511
632	314831	679896
633	315402	679556
634	315783	678809
635	316232	678209
636	316642	677526
637	317095	676935
638	317521	676286
639	317968	675682
640	318494	675248
641	319013	674797
642	319471	674218
643	320101	674002
644	320634	673580
645	321107	673034
646	321568	672461
647	322102	672040
648	322653	671656
649	323110	671074
650	323625	670615
651	324198	670276
652	324619	669621
653	325186	669267
654	325655	668712
655	326223	668361
656	326771	667966
657	327208	667345
658	327636	666708
659	328164	666273
660	328624	665700
661	329063	665086
662	329585	664639
663	330111	664200
664	330564	663613
665	331048	663090
666	331582	662667
667	332086	662184
668	332707	661934
669	333265	661556
670	333784	661103
671	334238	660518
672	334661	659875
673	335094	659251
674	335625	658820
675	336158	658393
676	336726	658033
677	337141	657375
678	337604	656811
679	338107	656326
680	338559	655742
681	339125	655377
682	339680	654991
683	340171	654482
684	340589	653831
685	341135	653428
686	341657	652977
687	342199	652567
688	342681	652039
689	343100	651393
690	343569	650843
691	343945	650117
692	344398	649537
693	344751	648768
694	345292	648355
695	345741	647768
696	346184	647170
697	346741	646787
698	347094	646022
699	347441	645248
700	347988	644846
701	348447	644280
702	348957	643809
703	349435	643279
704	349953	642822
705	350345	642134
706	350777	641521
707	351208	640906
708	351741	640476
709	352157	639834
710	352582	639211
711	353145	638836
712	353657	638369
713	354127	637827
714	354565	637226
715	355007	636633
716	355476	636089
717	355975	635599
718	356402	634982
719	356931	634544
720	357386	633977
721	357849	633423
722	358277	632807
723	358773	632313
724	359334	631932
725	359892	631547
726	360339	630966
727	360774	630363
728	361229	629798
729	361740	629328
730	362266	628885
731	362798	628454
732	363326	628015
733	363803	627485
734	364325	627035
735	364725	626377
736	365293	626004
737	365743	625431
738	366305	625048
739	366745	624459
740	367189	623875
741	367638	623300
742	368207	622929
743	368658	622359
744	369158	621871
745	369678	621416
746	370125	620839
747	370643	620382
748	371047	619734
749	371459	619099
750	371888	618493
751	372359	617958
752	372812	617393
753	373383	617023
754	373841	616466
755	374275	615870
756	374699	615259
757	375224	614813
758	375614	614146
759	376058	613569
760	376478	612952
761	377000	612502
762	377547	612092
763	378070	611643
764	378558	611137
765	379066	610663
766	379576	610192
767	380080	609712
768	380550	609177
769	380993	608600
770	381419	607996
771	381856	607409
772	382350	606913
773	382954	606592
774	383424	606058
775	383982	605662
776	384418	605075
777	384933	604612
778	385504	604237
779	385952	603669
780	386437	603158
781	386835	602513
782	387341	602036
783	387804	601492
784	388193	600834
785	388682	600331
786	389210	599888
787	389690	599371
788	390221	598932
789	390678	598380
790	391125	597813
791	391624	597326
792	392128	596845
793	392674	596429
794	393185	595959
795	393633	595395
796	394088	594841
797	394582	594346
798	395099	593886
799	395613	593420
800	396027	592804
801	396475	592241
802	397014	591813
803	397580	591426
804	398149	591042
805	398666	590580
806	399127	590036
807	399628	589550
808	400040	588934
809	400547	588458
810	401018	587930
811	401545	587482
812	401996	586924
813	402442	586360
814	402924	585847
815	403439	585382
816	403798	584691
817	404241	584124
818	404752	583653
819	405246	583159
820	405818	582777
821	406254	582199
822	406740	581693
823	407253	581225
824	407715	580685
825	408216	580201
826	408645	579615
827	409122	579096
828	409500	578438
829	409949	577881
830	410460	577411
831	410942	576900
832	411421	576385
833	411782	575705
834	412207	575116
835	412676	574587
836	413126	574033
837	413599	573512
838	414079	572999
839	414495	572398
840	414940	571838
841	415448	571365
842	415923	570846
843	416321	570222
844	416779	569681
845	417219	569114
846	417677	568574
847	418109	567997
848	418619	567528
849	419014	566901
850	419544	566459
851	419978	565885
852	420422	565328
853	420925	564847
854	421366	564285
855	421862	563797
856	422374	563329
857	422892	562870
858	423518	562555
859	423994	562039
860	424400	561431
861	424996	561074
862	425477	560565
863	426016	560132
864	426488	559611
865	426999	559142
